route_short_name,route_id,agency_id,route_long_name,route_type,route_desc,route_color,route_text_color
AB097,10400029,AA,Megenegna Terminal ↔ Legedadi Mission,3,,1779c2,ffffff
AB101,10400258,AA,Megenagna Terminal ↔ Aba Kiros Roundabout,3,,1779c2,ffffff
AB049,10400405,AA,Megenegna Terminal ↔ Ayat Chefe Condominium,3,,1779c2,ffffff
AB083,10406491,AA,Ayat Chefe Condominium ↔ 6 Kilo,3,,1779c2,ffffff
AB010,10407732,AA,Kotebe Teachers College ↔ Piassa Arada,3,,1779c2,ffffff
AB009,10410198,AA,Piassa Arada ↔ Brass Clinic (Bole),3,,1779c2,ffffff
AB061,10441511,AA,Legehar (Old Train Station) ↔ Ayat Chefe Condominium,3,,1779c2,ffffff
AB032,10547202,AA,Hanna Mariam ↔ Legehar (Old Train Station),3,,1779c2,ffffff
AB018,10550063,AA,Yeshi Debele ↔ Autobis Tera,3,,1779c2,ffffff
AB087,10550163,AA,Winget ↔ Ayer Tena (Terminal),3,,1779c2,ffffff
AB110,10550650,AA,Tulu Dimtu ↔ 6 Kilo,3,,1779c2,ffffff
AB047,10551230,AA,Shegole (Mender 7) ↔ Autobis Tera,3,,1779c2,ffffff
AB028,10551231,AA,Sansusi ↔ Autobis Tera,3,,1779c2,ffffff
AB041,10551605,AA,Eyesus ↔ Autobis Tera,3,,1779c2,ffffff
AB003,15625520,AA,Ayer Tena ↔ Piassa Arada,3,,1779c2,ffffff
AB034,15656246,AA,German Square ↔ Autobis Tera,3,,1779c2,ffffff
AB004,16067901,AA,Kality Meneharia ↔ Autobis Tera,3,,1779c2,ffffff
AB006,16068007,AA,kera ↔ Addisu Gebeya,3,,1779c2,ffffff
AB027,16068572,AA,Mexico ↔ Gelan Condominium,3,,1779c2,ffffff
AB033,16068674,AA,Kotebe Gebriel ↔ Arat Kilo,3,,1779c2,ffffff
AB036,16068754,AA,Legehar (Old Train Station) ↔ Kara Kore,3,,1779c2,ffffff
AB037,16068915,AA,Yeshi Debele ↔ St. George Church,3,,1779c2,ffffff
