stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Beherawi Theatre,,node/847244293,9.0165395,38.7525538,0
Black Lion,,node/847244423,9.0209237,38.7521415,0
4 Kilo,,node/4832025024,9.0344007,38.7632408,0
Lamberet Terminal (Bus),,node/4884374622,9.0223057,38.8158571,0
Sar Bet (Roundabout),,node/5248250425,8.9929728,38.738182,0
Ambassador,,node/5330678521,9.0164409,38.7553162,0
Stadium,,node/5736089088,9.0120276,38.7570321,0
Mebrathail,,node/6251054285,9.0295451,38.7146778,0
Asko,,node/6307600909,9.0654733,38.6928185,0
Bole Printing Press,,node/6373574986,8.9976331,38.7718334,0
Kebede Wessene Rd.,,node/6798927886,8.9986049,38.8053365,0
Mebrat,,node/6967165728,8.9673396,38.7486643,0
Gofa Gebriel,,node/6967179322,8.9771232,38.7491221,0
Kera (Gofa Road),,node/6967179323,8.9825519,38.7498599,0
German Square,,node/6967234177,8.9655968,38.732897,0
Friendship Building,,node/6967281153,8.9899905,38.7859995,0
Piassa (Downtown Cafe),,node/6967281241,9.0319356,38.7512565,0
Piassa Arada (2),,node/6967281242,9.0330123,38.7526242,0
Gojo,,node/6967318740,9.0418236,38.6217166,0
Se'alite Mihret Church,,node/7009876556,9.0202539,38.8265804,0
Megenagna Terminal,,node/7022361366,9.0203188,38.8026673,0
Bole Millenium,,node/7022397409,8.9885373,38.7897496,0
Bole Millenium,,node/7022397410,8.9887535,38.789886,0
Goro School,,node/7022397411,8.9937973,38.8267584,0
Summit Condominiums,,node/7022397413,8.9842709,38.8569749,0
Summit Condominiums,,node/7022397414,8.9842404,38.8570885,0
Aba Kiros Roundabout,,node/7022397418,9.0561234,38.8785328,0
Yeka Abado,,node/7022397420,9.0689298,38.875565,0
Yeka Abado,,node/7022397421,9.0688377,38.8756232,0
Abuare Roundabout,,node/7037142414,9.026427,38.7757967,0
Abuare Roundabout,,node/7037142415,9.026504,38.7759255,0
Marathon Motor (Megenagna),,node/7037142417,9.0224201,38.8000289,0
Yeha,,node/7037142419,9.060739,38.7836264,0
Tena Tabya,,node/7037142420,9.0608445,38.7839285,0
Biret Dildiy (Bono Wuha),,node/7037142421,9.0598571,38.7811505,0
Bret Dildy (Bono Wuha),,node/7037142422,9.0599927,38.7810894,0
Atlas,,node/7037142423,9.0042786,38.7797667,0
Bole Medhanialem,,node/7037142424,8.9983386,38.7860596,0
Bole Medhanialem,,node/7037142426,8.9984556,38.7862428,0
24,,node/7037142427,9.0098865,38.800549,0
Dinberwa Hospital,,node/7037142428,9.0221273,38.7866932,0
Kokebe Tsebah School,,node/7037142430,9.0345238,38.7802113,0
Kokebe Tsebah School,,node/7037142431,9.034441,38.7799476,0
Belgium Embassy,,node/7037142433,9.031876,38.7839469,0
British Embassy,,node/7037142434,9.0311083,38.784892,0
British Embassy,,node/7037142435,9.0309087,38.7855544,0
Abebe Sook,,node/7037142436,9.0287538,38.7887162,0
Shola Gebeya,,node/7037142438,9.0250779,38.7952986,0
Yeka Michael,,node/7037142439,9.0244101,38.7961373,0
Megenagna,,node/7037142441,9.0180934,38.8021491,0
Megenagna,,node/7037142442,9.0182711,38.8017521,0
Derartu,,node/7037142443,8.8868864,38.7818414,0
Gelan Condominium,,node/7037142444,8.8856808,38.7837651,0
08 Adarash,,node/7037142445,8.8844052,38.785491,0
Meshuwalekia Akaki,,node/7037142446,8.8767985,38.7865253,0
Akaki Beretaberet,,node/7037142448,8.8738843,38.7887478,0
G7 (Tulu Dimtu),,node/7037142450,8.870907,38.8207065,0
Tulu Dimtu Unisa,,node/7037142454,8.8552763,38.8042339,0
Tulu Dimtu,,node/7037142455,8.8556159,38.8041524,0
Akaki Korkoro,,node/7037142456,8.8597556,38.7961539,0
Tulu Dimtu (Taf Gas Station),,node/7037142459,8.8688691,38.8051915,0
Arsema,,node/7037142460,8.8722685,38.8136608,0
Selam Sefer (Tapela Gar),,node/7037142461,8.8722281,38.8140262,0
Tulu Dimtu Adebabay,,node/7037142462,8.8747821,38.8201689,0
Project 12 Akababi,,node/7037142464,8.8658608,38.8218482,0
Mahiber Betoch,,node/7037142465,8.8592154,38.8148895,0
Bole Dildiy,,node/7037142466,8.9869933,38.7912061,0
Megenagna / Zefmesh,,node/7037142467,9.02034,38.8000136,0
Megenagna,,node/7037142469,9.0213214,38.8010735,0
Megenagna,,node/7037142470,9.0217137,38.8015921,0
Abysinia Cafe Area,,node/7037142471,9.0215363,38.8100422,0
Abysinia Cafe Area,,node/7037142472,9.0213396,38.810853,0
Century Mall,,node/7037142474,9.0196778,38.8132781,0
Gurd-shola,,node/7037142475,9.0187352,38.8215105,0
Menaheria,,node/7037142476,9.0239816,38.8192066,0
Menaheria,,node/7037142477,9.0238758,38.8192354,0
Gerji Mebrat Haile,,node/7037142479,9.003632,38.814876,0
Gerji Mebrat Haile,,node/7037142483,9.0037638,38.8132574,0
Lamberet,,node/7037142484,9.0253421,38.8251916,0
Lamberet Area,,node/7037183485,9.0258842,38.8271787,0
Lamberet Area,,node/7037183486,9.0260507,38.8273076,0
Lamberet Area,,node/7037183487,9.0259969,38.8271189,0
Yerer Goro,,node/7037183490,8.9913503,38.8294063,0
Yerer Goro,,node/7037183491,8.9913222,38.8292171,0
Management Institute,,node/7037183493,9.0203852,38.82686,0
Sealite Mihret,,node/7037183494,9.0203048,38.8273219,0
Civil Service College,,node/7037183495,9.0216167,38.8342032,0
St. Michael,,node/7037183496,9.021312,38.8414217,0
St. Micheal Church,,node/7037183497,9.0215489,38.8425033,0
Salite Mihret,,node/7037183498,9.0283709,38.8331954,0
Hillside (Ethio-China Mebrathaile),,node/7037183499,9.0285264,38.8333256,0
Wessen Michael,,node/7037183501,9.030459,38.838592,0
Hanna Mariam,,node/7037183502,9.0375551,38.8316144,0
Hanna Mariam,,node/7037183503,9.0375969,38.8316246,0
Wessen,,node/7037183504,9.0330948,38.8442968,0
Wessen,,node/7037183505,9.033228,38.8445812,0
Wessen (Mariam),,node/7037183507,9.0330982,38.8446898,0
Kotebe Teachers College,,node/7037183508,9.0342084,38.8466963,0
Yabem Hotel,,node/7037183509,9.0357649,38.8533863,0
Kotebe Gebriel,,node/7037183510,9.036101,38.8545188,0
Yetebaberut,,node/7037183513,9.0201901,38.8526027,0
Yetebaberut,,node/7037183515,9.0207031,38.8539074,0
Meri,,node/7037183516,9.0207092,38.8603565,0
Meri (Yetebaberut),,node/7037183518,9.0205124,38.8610727,0
Ayat,,node/7037183519,9.0208331,38.8686047,0
Ayat Zone 2,,node/7037183520,9.0210633,38.8678248,0
Kara (Turn),,node/7037183521,9.0379427,38.8606002,0
Medhanalem Church,,node/7037183523,9.0401552,38.8640163,0
Safari,,node/7037183525,9.0106828,38.852259,0
Summit (MOHA),,node/7037183527,9.0043876,38.8520658,0
Saint Georgis,,node/7037183528,8.9955228,38.8513132,0
Tena Tabeya,,node/7037183529,8.9941038,38.860685,0
Gate 2,,node/7037183532,8.9894728,38.8582866,0
Summit Condominiums,,node/7037183533,8.9846055,38.8544474,0
Ayat Train Station,,node/7037183535,9.0213287,38.8719812,0
CMC,,node/7037183536,9.0211208,38.872594,0
Ayat Square,,node/7037183537,9.0212396,38.8767684,0
Feres Bet,,node/7037183538,9.0216916,38.8862575,0
Police Tabia,,node/7037183539,9.0170704,38.8946069,0
Tsebel,,node/7037183540,9.0222555,38.891209,0
Bono Meskid,,node/7037183541,9.0219034,38.8902931,0
Ayat Chefe Condominium,,node/7037183542,9.0113906,38.8946677,0
Ayat Chefe Condominium,,node/7037183543,9.0109368,38.8944878,0
Nebu Mikael,,node/7037183545,9.0023517,38.8767662,0
Bole Arabsa (3),,node/7037183547,8.9963324,38.8855436,0
Bole Arabsa (2),,node/7037183548,8.9841602,38.8851362,0
Bole Arabsa,,node/7037183550,8.9733148,38.8902717,0
Yeka Condominium 1,,node/7037183552,9.0354891,38.877919,0
Tafo Gebrael,,node/7037183554,9.0381306,38.8777819,0
Tafo Condominium 1,,node/7037183555,9.0505157,38.8779667,0
Tafo Mebrathail,,node/7037183557,9.0425957,38.8773973,0
Tafo Mebrathail,,node/7037183558,9.0427743,38.877866,0
Tafo Condominium 2,,node/7037183559,9.0465834,38.8779122,0
Kara Condominium,,node/7037183562,9.0501511,38.8705589,0
Yeka Abado,,node/7037183563,9.0666282,38.8647703,0
Sara Ampol (Gedera),,node/7037183565,9.0571811,38.8737753,0
Sara Ampol,,node/7037183567,9.0580264,38.8742538,0
Aba Kiros,,node/7037183569,9.0606875,38.8812971,0
Makefafeya,,node/7037183570,9.0630654,38.8841651,0
Gari Tera,,node/7037183571,9.0670494,38.8892044,0
CCD,,node/7037183572,9.0707009,38.8938058,0
140,,node/7037183573,9.0718221,38.8952147,0
Legedadi Mission,,node/7037183574,9.0818058,38.9074861,0
Legedadi Mission,,node/7037183575,9.0821737,38.90832,0
Selam Building,,node/7041052894,8.8832831,38.7771574,0
Gojo Hotel,,node/7041052895,8.8910809,38.7768265,0
Kality Meneharia,,node/7041052896,8.8958584,38.7717989,0
Cheralia Factory,,node/7041052897,8.9029458,38.7668359,0
Cheralia Factory,,node/7041052898,8.9029223,38.7667452,0
Kality Gebriel,,node/7041052900,8.9113422,38.7638335,0
Kality Prison,,node/7041052901,8.912466,38.7633399,0
Hana Maryam,,node/7041052912,8.928137,38.7416641,0
Tabelew,,node/7041052914,8.9274906,38.6590102,0
Alem Gena,,node/7041052916,8.9230001,38.6526472,0
Alem Gena,,node/7041052917,8.9229882,38.652656,0
Mekanisa (Old Revenues Office),,node/7041052927,8.9683942,38.73129,0
German Square,,node/7041052928,8.9656974,38.7327236,0
Gebriel Bridge,,node/7041052932,8.9556239,38.7324437,0
Gebriel Bridge,,node/7041052934,8.955596,38.7327233,0
Mebrathile (EEPCo),,node/7041052935,8.9469471,38.7339608,0
Mekanisa School,,node/7041052936,8.9790248,38.7341955,0
Abo,,node/7041052937,8.9785916,38.7339384,0
